,,,L1,L2,L3,L4,L5,L6(?),L7,L8,L9,L10,L10A,L10B,L11
??????,???,?,??????????(?????),????????????(?????),?????(???),??????(???),?????????,???????,??????(42?),???????(M2)(?????),??????,??????(???),????????(???),????(10?)????????,??????????DI
Time (Monthly) Code,Calendar year,Month,Index of Producer's Inventory Ratio of Finished Goods (Final Demand Goods) (Inverted),Index of Producer's Inventory Ratio of Finished Goods (Producer Goods for Mining and Manufacturing) (Inverted),New Job Offers (Excluding New School Graduates),Machinery Orders at Constant Prices (Manufacturing),Total Floor Area of New Housing Construction Started,Consumer Confidence Index,Nikkei Commodity Price Index (42 Items),Money Stock (M2) (Change from Previous Year),Stock Prices (TOPIX),Index of Investment Climate (Manufacturing),Ratio of Operating Profits to Total Assets (Manufacturing),Newly Issued Government Bonds Yield (10 Years),Sales Forecast DI of Small Businesses
,,,(??2?=100),(??2?=100),(?),(???),(???????),,(1970?=100),(%),,,(%),(%),
,,,2020=100,2020=100,persons,million yen,thousand square meters,,1970=100,percent change,,,ratio,percent per year,
1975000101,1975,1,97.3 ,91.5 ,349651 ,200216 ,7284 ,34.8 ,144.019 ,11.9 ,276.09 ,-5.61 ,5.44 ,11.05 ,-13.6 
1975000202,1975,2,94.2 ,89.7 ,368410 ,169117 ,8437 ,37.1 ,145.044 ,11.9 ,299.81 ,-4.56 ,4.71 ,9.27 ,-20.7 
1975000303,1975,3,90.4 ,87.5 ,388872 ,174944 ,9135 ,39.3 ,146.654 ,12.3 ,313.50 ,-5.75 ,3.99 ,9.74 ,-14.9 
1975000404,1975,4,81.3 ,85.1 ,344599 ,133260 ,9063 ,39.4 ,148.386 ,12.8 ,320.57 ,-5.48 ,4.12 ,9.60 ,2.7 
1975000505,1975,5,84.2 ,83.3 ,321790 ,168174 ,9211 ,39.4 ,146.378 ,12.6 ,329.65 ,-4.98 ,4.23 ,9.21 ,14.4 
1975000606,1975,6,84.2 ,81.4 ,319191 ,141010 ,9208 ,39.5 ,146.650 ,12.4 ,327.74 ,-4.77 ,4.34 ,9.11 ,17.0 
1975000707,1975,7,83.8 ,78.6 ,319859 ,137706 ,9488 ,39.1 ,147.940 ,13.1 ,323.47 ,-5.00 ,4.50 ,9.50 ,14.7 
1975000808,1975,8,85.5 ,78.9 ,322438 ,149951 ,9559 ,38.6 ,147.262 ,13.5 ,309.81 ,-4.84 ,4.67 ,9.51 ,7.5 
1975000909,1975,9,83.2 ,77.9 ,327684 ,167402 ,9333 ,38.2 ,146.229 ,13.8 ,299.07 ,-4.77 ,4.83 ,9.60 ,10.8 
1975001010,1975,10,82.3 ,77.4 ,315388 ,147077 ,9718 ,38.8 ,146.012 ,14.3 ,308.57 ,-4.64 ,4.99 ,9.63 ,12.4 
1975001111,1975,11,81.7 ,78.3 ,320757 ,124255 ,9313 ,39.3 ,145.288 ,13.9 ,315.79 ,-4.46 ,5.15 ,9.61 ,13.9 
1975001212,1975,12,77.9 ,74.9 ,329985 ,147464 ,12283 ,39.9 ,147.669 ,14.5 ,315.91 ,-4.05 ,5.31 ,9.36 ,12.3 
1976000101,1976,1,79.0 ,74.2 ,340397 ,138684 ,11424 ,39.7 ,150.926 ,15.0 ,337.33 ,-3.34 ,5.46 ,8.80 ,20.8 
1976000202,1976,2,77.8 ,72.4 ,343886 ,158087 ,10682 ,39.6 ,154.923 ,15.3 ,336.89 ,-3.11 ,5.58 ,8.69 ,27.1 
1976000303,1976,3,75.8 ,71.1 ,346122 ,148636 ,9598 ,39.4 ,158.244 ,15.7 ,341.60 ,-3.11 ,5.71 ,8.82 ,25.8 
1976000404,1976,4,77.1 ,70.1 ,353492 ,157442 ,9807 ,39.5 ,161.449 ,15.2 ,334.41 ,-3.14 ,5.82 ,8.96 ,26.3 
1976000505,1976,5,77.1 ,70.7 ,359884 ,167859 ,10480 ,39.7 ,163.350 ,15.5 ,341.17 ,-3.15 ,5.96 ,9.11 ,26.8 
1976000606,1976,6,76.8 ,68.5 ,361157 ,150562 ,10890 ,39.8 ,165.637 ,16.2 ,352.54 ,-3.08 ,6.11 ,9.19 ,25.8 
1976000707,1976,7,75.8 ,68.5 ,352245 ,162320 ,10966 ,39.6 ,168.366 ,15.5 ,351.37 ,-2.84 ,6.25 ,9.09 ,40.1 
1976000808,1976,8,76.6 ,67.8 ,345020 ,152942 ,10293 ,39.5 ,168.056 ,15.2 ,355.16 ,-2.59 ,6.36 ,8.95 ,29.6 
1976000909,1976,9,77.5 ,68.6 ,334964 ,148588 ,9822 ,39.3 ,165.743 ,15.0 ,354.88 ,-2.55 ,6.46 ,9.01 ,26.6 
1976001010,1976,10,79.4 ,68.4 ,336936 ,159674 ,10049 ,39.0 ,162.959 ,14.9 ,351.59 ,-2.78 ,6.31 ,9.09 ,21.1 
1976001111,1976,11,77.0 ,68.8 ,342050 ,168790 ,10118 ,38.7 ,161.846 ,14.3 ,346.93 ,-2.99 ,6.18 ,9.17 ,15.8 
1976001212,1976,12,79.6 ,71.0 ,337657 ,148099 ,11679 ,38.4 ,161.052 ,13.8 ,364.87 ,-2.84 ,6.04 ,8.88 ,13.6 
1977000101,1977,1,76.2 ,70.3 ,327540 ,161762 ,12517 ,38.4 ,163.326 ,13.1 ,379.53 ,-2.54 ,6.05 ,8.59 ,13.3 
1977000202,1977,2,76.2 ,72.0 ,317156 ,151620 ,10514 ,38.5 ,161.984 ,12.4 ,380.55 ,-2.45 ,6.05 ,8.50 ,14.0 
1977000303,1977,3,74.8 ,72.7 ,321162 ,157252 ,9385 ,38.5 ,160.808 ,12.2 ,376.92 ,-2.26 ,6.06 ,8.32 ,9.4 
1977000404,1977,4,78.3 ,74.5 ,314954 ,143788 ,10709 ,38.6 ,163.124 ,11.5 ,374.55 ,-1.89 ,5.94 ,7.83 ,12.1 
1977000505,1977,5,78.6 ,75.6 ,302827 ,141283 ,10574 ,38.7 ,161.858 ,11.2 ,378.90 ,-1.77 ,5.84 ,7.61 ,12.4 
1977000606,1977,6,79.1 ,76.5 ,294569 ,147539 ,9334 ,38.8 ,158.940 ,11.0 ,376.04 ,-1.74 ,5.73 ,7.47 ,8.9 
1977000707,1977,7,79.1 ,77.3 ,297085 ,137570 ,9566 ,39.2 ,156.793 ,11.2 ,375.06 ,-1.17 ,5.64 ,6.81 ,6.5 
1977000808,1977,8,77.9 ,75.5 ,301167 ,141288 ,11416 ,39.5 ,155.910 ,10.9 ,380.99 ,-1.37 ,5.55 ,6.92 ,8.2 
1977000909,1977,9,75.6 ,76.1 ,304290 ,152923 ,10643 ,39.9 ,156.085 ,11.3 ,387.65 ,-1.50 ,5.46 ,6.96 ,11.3 
1977001010,1977,10,75.4 ,76.6 ,309291 ,135502 ,10362 ,40.0 ,154.977 ,10.6 ,380.98 ,-1.42 ,5.52 ,6.94 ,18.0 
1977001111,1977,11,75.7 ,75.4 ,306341 ,143321 ,11682 ,40.1 ,151.840 ,10.8 ,367.20 ,-1.19 ,5.58 ,6.77 ,14.1 
1977001212,1977,12,75.1 ,74.4 ,298065 ,141992 ,11254 ,40.2 ,151.776 ,10.7 ,362.68 ,-0.94 ,5.64 ,6.58 ,10.2 
1978000101,1978,1,74.4 ,73.4 ,301406 ,146428 ,12302 ,40.4 ,151.429 ,10.6 ,374.29 ,-0.94 ,5.57 ,6.51 ,13.5 
1978000202,1978,2,74.2 ,73.9 ,317612 ,152681 ,12595 ,40.7 ,152.799 ,10.7 ,384.47 ,-1.08 ,5.51 ,6.59 ,9.7 
1978000303,1978,3,70.8 ,72.6 ,333841 ,164020 ,11852 ,40.9 ,152.312 ,11.1 ,397.03 ,-1.19 ,5.45 ,6.64 ,16.9 
1978000404,1978,4,72.7 ,71.5 ,327708 ,133469 ,10277 ,41.2 ,151.558 ,11.9 ,410.48 ,-1.09 ,5.51 ,6.60 ,14.2 
1978000505,1978,5,70.4 ,70.0 ,311284 ,145062 ,10683 ,41.5 ,152.633 ,11.5 ,409.68 ,-1.00 ,5.58 ,6.58 ,11.6 
1978000606,1978,6,69.6 ,68.3 ,330896 ,155623 ,13277 ,41.8 ,150.044 ,12.0 ,412.07 ,-0.98 ,5.64 ,6.62 ,18.4 
1978000707,1978,7,69.6 ,67.5 ,337636 ,145722 ,11298 ,42.3 ,148.663 ,12.0 ,422.56 ,-0.86 ,5.76 ,6.62 ,20.5 
1978000808,1978,8,68.5 ,66.7 ,330947 ,176255 ,9077 ,42.8 ,148.591 ,12.3 ,419.87 ,-0.79 ,5.87 ,6.66 ,18.8 
1978000909,1978,9,67.3 ,64.7 ,336331 ,183565 ,9515 ,43.3 ,147.346 ,12.0 ,427.97 ,-0.73 ,5.98 ,6.71 ,17.7 
1978001010,1978,10,68.6 ,64.6 ,341645 ,144383 ,11125 ,43.5 ,148.782 ,12.1 ,436.10 ,-0.45 ,6.23 ,6.68 ,18.7 
1978001111,1978,11,68.7 ,64.4 ,345209 ,184174 ,13501 ,43.8 ,149.528 ,12.3 ,440.34 ,-0.18 ,6.47 ,6.65 ,23.4 
1978001212,1978,12,68.6 ,63.7 ,346012 ,182944 ,11678 ,44.0 ,151.903 ,12.2 ,446.92 ,0.05 ,6.70 ,6.65 ,20.3 
1979000101,1979,1,69.6 ,63.3 ,357076 ,168379 ,9555 ,44.0 ,156.448 ,12.3 ,459.51 ,0.35 ,6.96 ,6.61 ,17.3 
1979000202,1979,2,70.4 ,63.0 ,369806 ,171237 ,10083 ,43.9 ,159.869 ,12.3 ,452.70 ,0.45 ,7.23 ,6.78 ,14.2 
1979000303,1979,3,69.4 ,61.3 ,375375 ,166379 ,11217 ,43.9 ,163.659 ,12.2 ,447.78 ,0.54 ,7.49 ,6.95 ,17.7 
1979000404,1979,4,68.9 ,61.3 ,370445 ,219699 ,11775 ,42.2 ,167.807 ,12.2 ,444.66 ,0.33 ,7.80 ,7.47 ,21.2 
1979000505,1979,5,65.8 ,59.7 ,378801 ,173567 ,11340 ,40.4 ,172.686 ,12.8 ,453.71 ,0.60 ,8.09 ,7.49 ,22.9 
1979000606,1979,6,65.0 ,59.9 ,383695 ,195142 ,12199 ,38.7 ,176.705 ,11.8 ,444.27 ,0.37 ,8.38 ,8.01 ,22.6 
1979000707,1979,7,65.3 ,58.5 ,381887 ,208668 ,12817 ,38.8 ,178.894 ,11.9 ,442.39 ,0.72 ,8.44 ,7.72 ,17.8 
1979000808,1979,8,64.2 ,58.5 ,388372 ,181496 ,11823 ,38.9 ,180.146 ,11.9 ,450.30 ,0.80 ,8.47 ,7.67 ,18.2 
1979000909,1979,9,66.5 ,60.4 ,405175 ,182257 ,11800 ,39.0 ,183.591 ,11.4 ,455.33 ,0.71 ,8.49 ,7.78 ,16.6 
1979001010,1979,10,66.9 ,60.9 ,402340 ,219387 ,11155 ,38.6 ,185.223 ,11.4 ,450.66 ,0.22 ,8.60 ,8.38 ,14.3 
1979001111,1979,11,66.9 ,59.6 ,395343 ,214469 ,11011 ,38.3 ,188.977 ,11.1 ,445.45 ,0.03 ,8.76 ,8.73 ,18.4 
1979001212,1979,12,67.3 ,59.2 ,392743 ,199287 ,10644 ,37.9 ,191.402 ,11.0 ,453.45 ,0.30 ,8.91 ,8.61 ,16.9 
1980000101,1980,1,67.5 ,58.5 ,401920 ,232142 ,10721 ,37.2 ,200.263 ,10.6 ,463.80 ,0.55 ,9.03 ,8.48 ,20.0 
1980000202,1980,2,67.1 ,56.7 ,392188 ,230512 ,10308 ,36.4 ,208.044 ,10.8 ,469.70 ,0.54 ,9.11 ,8.57 ,21.7 
1980000303,1980,3,69.4 ,59.4 ,390152 ,214068 ,11038 ,35.7 ,207.846 ,10.6 ,455.85 ,-0.25 ,9.18 ,9.43 ,17.4 
1980000404,1980,4,67.5 ,59.2 ,401502 ,259656 ,11026 ,36.5 ,209.833 ,10.4 ,460.95 ,-1.04 ,8.96 ,10.00 ,6.9 
1980000505,1980,5,72.2 ,60.9 ,397025 ,248523 ,10493 ,37.4 ,204.834 ,10.3 ,466.92 ,-0.51 ,8.74 ,9.25 ,5.4 
1980000606,1980,6,73.3 ,64.5 ,392267 ,225752 ,10031 ,38.2 ,201.942 ,9.6 ,467.89 ,-0.07 ,8.52 ,8.59 ,2.7 
1980000707,1980,7,74.7 ,67.8 ,387568 ,236182 ,9592 ,38.1 ,202.048 ,8.8 ,469.20 ,-0.54 ,8.16 ,8.70 ,-1.1 
1980000808,1980,8,76.8 ,72.8 ,385751 ,213511 ,9399 ,37.9 ,202.260 ,8.3 ,473.65 ,-0.99 ,7.85 ,8.84 ,4.3 
1980000909,1980,9,78.6 ,71.4 ,380084 ,197171 ,9304 ,37.8 ,198.679 ,8.0 ,483.22 ,-1.41 ,7.53 ,8.94 ,3.4 
1980001010,1980,10,77.1 ,70.4 ,373323 ,241771 ,9028 ,37.8 ,197.436 ,7.6 ,494.11 ,-1.57 ,7.35 ,8.92 ,4.8 
1980001111,1980,11,78.8 ,70.3 ,378513 ,206980 ,8781 ,37.9 ,196.539 ,7.9 ,494.30 ,-2.03 ,7.18 ,9.21 ,2.7 
1980001212,1980,12,78.3 ,71.1 ,387981 ,287001 ,9106 ,37.9 ,192.471 ,7.8 ,489.74 ,-2.20 ,7.01 ,9.21 ,5.9 
1981000101,1981,1,76.8 ,70.7 ,384943 ,220225 ,8443 ,38.0 ,188.783 ,7.4 ,505.68 ,-2.05 ,6.82 ,8.87 ,0.2 
1981000202,1981,2,77.0 ,71.8 ,370516 ,213582 ,9795 ,38.1 ,185.545 ,7.6 ,505.87 ,-2.01 ,6.63 ,8.64 ,2.0 
1981000303,1981,3,77.5 ,71.9 ,357269 ,230658 ,8710 ,38.2 ,186.367 ,7.7 ,515.78 ,-2.09 ,6.45 ,8.54 ,1.4 
1981000404,1981,4,76.8 ,71.7 ,360795 ,236154 ,9271 ,38.2 ,188.036 ,7.9 ,546.03 ,-1.83 ,6.48 ,8.31 ,5.4 
1981000505,1981,5,77.6 ,73.4 ,374996 ,214362 ,11455 ,38.1 ,188.306 ,7.5 ,554.96 ,-2.07 ,6.51 ,8.58 ,11.0 
1981000606,1981,6,77.0 ,71.5 ,375241 ,214478 ,9188 ,38.1 ,187.653 ,8.3 ,568.67 ,-2.21 ,6.54 ,8.75 ,11.0 
1981000707,1981,7,75.7 ,70.2 ,380397 ,216758 ,8162 ,38.3 ,193.202 ,9.0 ,590.00 ,-1.73 ,6.76 ,8.49 ,13.3 
1981000808,1981,8,75.6 ,70.2 ,391834 ,219491 ,8673 ,38.6 ,194.030 ,9.6 ,596.74 ,-1.61 ,6.98 ,8.59 ,10.7 
1981000909,1981,9,73.3 ,68.4 ,370101 ,214572 ,8698 ,38.8 ,192.181 ,10.1 ,564.58 ,-1.49 ,7.19 ,8.68 ,11.4 
1981001010,1981,10,73.0 ,68.1 ,366397 ,236527 ,8247 ,38.7 ,193.034 ,10.8 ,545.04 ,-1.57 ,7.13 ,8.70 ,16.0 
1981001111,1981,11,71.7 ,68.4 ,362783 ,233275 ,8338 ,38.6 ,191.127 ,10.4 ,558.10 ,-1.22 ,7.06 ,8.28 ,11.1 
1981001212,1981,12,73.4 ,68.3 ,380021 ,248056 ,8718 ,38.5 ,192.472 ,10.5 ,566.10 ,-1.07 ,7.00 ,8.07 ,7.3 
1982000101,1982,1,74.8 ,70.0 ,361867 ,224902 ,8391 ,38.4 ,191.772 ,10.7 ,572.84 ,-0.80 ,7.16 ,7.96 ,10.9 
1982000202,1982,2,76.6 ,70.8 ,366423 ,236750 ,8673 ,38.2 ,190.616 ,10.6 ,570.70 ,-0.66 ,7.32 ,7.98 ,3.7 
1982000303,1982,3,75.6 ,70.5 ,356686 ,226690 ,8904 ,38.1 ,190.153 ,10.5 ,536.85 ,-0.17 ,7.48 ,7.65 ,-4.0 
1982000404,1982,4,78.6 ,71.7 ,344447 ,203853 ,8506 ,38.6 ,187.913 ,9.3 ,534.98 ,-0.65 ,7.07 ,7.72 ,1.2 
1982000505,1982,5,77.1 ,72.8 ,352364 ,262978 ,9156 ,39.0 ,185.979 ,9.4 ,555.72 ,-0.99 ,6.72 ,7.71 ,1.2 
1982000606,1982,6,77.5 ,71.5 ,351327 ,217939 ,8982 ,39.5 ,185.094 ,8.8 ,540.55 ,-1.99 ,6.35 ,8.34 ,-1.5 
1982000707,1982,7,77.7 ,71.8 ,351600 ,203610 ,8842 ,39.0 ,186.186 ,9.3 ,530.85 ,-1.89 ,6.41 ,8.30 ,6.4 
1982000808,1982,8,77.6 ,71.5 ,355228 ,230066 ,9034 ,38.5 ,187.829 ,9.0 ,523.53 ,-1.86 ,6.42 ,8.28 ,0.7 
1982000909,1982,9,74.3 ,70.4 ,347920 ,249906 ,9352 ,38.0 ,188.893 ,8.9 ,531.75 ,-1.89 ,6.43 ,8.32 ,4.3 
1982001010,1982,10,75.6 ,71.8 ,345181 ,192505 ,9432 ,38.0 ,189.958 ,8.3 ,541.43 ,-2.22 ,6.22 ,8.44 ,2.1 
1982001111,1982,11,74.8 ,69.7 ,347328 ,202859 ,9495 ,38.0 ,186.617 ,8.0 ,566.04 ,-2.34 ,6.02 ,8.36 ,-4.2 
1982001212,1982,12,75.7 ,70.4 ,349510 ,203970 ,8752 ,38.0 ,182.474 ,7.9 ,583.09 ,-1.92 ,5.82 ,7.74 ,1.9 
1983000101,1983,1,75.2 ,70.2 ,351958 ,198125 ,9828 ,38.4 ,180.643 ,7.7 ,588.77 ,-1.93 ,5.65 ,7.58 ,2.8 
1983000202,1983,2,75.0 ,70.5 ,347808 ,185044 ,8557 ,38.9 ,180.982 ,7.4 ,585.86 ,-2.17 ,5.49 ,7.66 ,3.9 
1983000303,1983,3,73.8 ,69.2 ,357340 ,221489 ,7970 ,39.3 ,179.881 ,7.6 ,601.16 ,-2.36 ,5.32 ,7.68 ,6.8 
1983000404,1983,4,75.1 ,67.9 ,356075 ,201102 ,7766 ,39.8 ,181.323 ,7.6 ,618.29 ,-2.26 ,5.38 ,7.64 ,9.7 
1983000505,1983,5,75.9 ,67.1 ,363864 ,205975 ,7651 ,40.2 ,181.984 ,7.5 ,633.30 ,-2.03 ,5.43 ,7.46 ,11.5 
1983000606,1983,6,74.6 ,65.3 ,366565 ,222836 ,8495 ,40.7 ,181.551 ,7.7 ,644.50 ,-2.11 ,5.48 ,7.59 ,15.2 
1983000707,1983,7,75.5 ,65.9 ,367463 ,217366 ,8148 ,40.9 ,182.818 ,7.1 ,661.54 ,-1.85 ,5.63 ,7.48 ,16.5 
1983000808,1983,8,71.9 ,63.2 ,377830 ,226698 ,8274 ,41.0 ,185.799 ,6.9 ,669.89 ,-1.89 ,5.78 ,7.67 ,18.0 
1983000909,1983,9,73.4 ,63.2 ,375334 ,235029 ,8195 ,41.2 ,188.256 ,7.2 ,684.49 ,-1.57 ,5.92 ,7.49 ,19.1 
1983001010,1983,10,72.4 ,62.6 ,383928 ,226947 ,8345 ,41.5 ,187.653 ,7.2 ,686.21 ,-1.31 ,6.10 ,7.41 ,14.3 
1983001111,1983,11,73.5 ,62.3 ,388161 ,238083 ,8377 ,41.9 ,188.166 ,6.8 ,686.46 ,-1.10 ,6.28 ,7.38 ,17.6 
1983001212,1983,12,71.9 ,62.6 ,384656 ,222396 ,8316 ,42.2 ,187.113 ,7.6 ,705.43 ,-0.73 ,6.46 ,7.19 ,20.5 
1984000101,1984,1,74.0 ,61.9 ,383497 ,256573 ,7999 ,42.3 ,186.725 ,7.6 ,759.63 ,-0.67 ,6.54 ,7.21 ,25.2 
1984000202,1984,2,72.8 ,60.9 ,380544 ,267414 ,8364 ,42.5 ,187.683 ,7.8 ,772.60 ,-0.57 ,6.62 ,7.19 ,20.7 
1984000303,1984,3,72.5 ,61.2 ,390369 ,237345 ,8226 ,42.6 ,186.511 ,8.4 ,813.28 ,-0.37 ,6.70 ,7.07 ,20.6 
1984000404,1984,4,73.0 ,62.1 ,399461 ,281759 ,8594 ,42.6 ,185.735 ,7.7 ,857.00 ,-0.28 ,6.68 ,6.96 ,19.6 
1984000505,1984,5,71.3 ,62.1 ,401071 ,248349 ,8474 ,42.7 ,185.662 ,7.6 ,822.35 ,-0.59 ,6.66 ,7.25 ,17.3 
1984000606,1984,6,72.2 ,62.7 ,397080 ,247009 ,8308 ,42.7 ,183.974 ,7.5 ,785.77 ,-0.62 ,6.65 ,7.27 ,19.4 
1984000707,1984,7,72.4 ,62.7 ,403672 ,281933 ,8449 ,42.9 ,183.774 ,7.7 ,774.56 ,-0.54 ,6.68 ,7.22 ,14.9 
1984000808,1984,8,72.1 ,62.8 ,403314 ,285667 ,8290 ,43.0 ,183.985 ,7.7 ,804.81 ,-0.40 ,6.70 ,7.10 ,15.3 
1984000909,1984,9,75.5 ,63.7 ,392662 ,264923 ,8215 ,43.2 ,182.922 ,8.1 ,815.76 ,-0.46 ,6.72 ,7.18 ,17.6 
1984001010,1984,10,75.0 ,63.7 ,403515 ,296271 ,8409 ,43.4 ,183.648 ,7.7 ,840.00 ,-0.33 ,6.63 ,6.96 ,16.8 
1984001111,1984,11,74.2 ,63.7 ,409305 ,302032 ,8194 ,43.5 ,183.043 ,8.1 ,855.83 ,-0.17 ,6.58 ,6.75 ,18.5 
1984001212,1984,12,74.2 ,64.6 ,405669 ,288482 ,8465 ,43.7 ,181.763 ,7.8 ,888.85 ,-0.24 ,6.54 ,6.78 ,15.9 
1985000101,1985,1,74.4 ,65.4 ,402179 ,281650 ,8545 ,43.8 ,182.301 ,7.9 ,927.20 ,-0.13 ,6.60 ,6.73 ,12.7 
1985000202,1985,2,74.5 ,66.6 ,411234 ,299976 ,8571 ,43.9 ,181.652 ,7.9 ,941.18 ,-0.55 ,6.62 ,7.17 ,18.6 
1985000303,1985,3,74.2 ,67.1 ,400606 ,273846 ,8941 ,44.0 ,181.003 ,7.9 ,994.51 ,-0.48 ,6.64 ,7.12 ,15.1 
1985000404,1985,4,74.1 ,67.4 ,409642 ,288997 ,8888 ,43.8 ,180.980 ,8.4 ,972.46 ,-0.26 ,6.69 ,6.95 ,13.1 
1985000505,1985,5,72.8 ,67.7 ,407704 ,302758 ,8841 ,43.5 ,179.742 ,8.3 ,983.88 ,-0.14 ,6.74 ,6.88 ,10.9 
1985000606,1985,6,74.0 ,69.7 ,400042 ,279320 ,8761 ,43.3 ,177.784 ,8.2 ,1010.86 ,0.08 ,6.80 ,6.72 ,11.6 
1985000707,1985,7,72.8 ,68.6 ,400488 ,295114 ,8304 ,43.4 ,176.008 ,8.2 ,1040.04 ,-0.16 ,6.43 ,6.59 ,8.2 
1985000808,1985,8,75.1 ,69.9 ,400564 ,265326 ,7789 ,43.5 ,175.328 ,8.3 ,1011.82 ,-0.37 ,6.10 ,6.47 ,6.4 
1985000909,1985,9,72.1 ,70.5 ,397754 ,294775 ,8398 ,43.6 ,172.549 ,8.3 ,1010.72 ,-0.69 ,5.76 ,6.45 ,4.0 
1985001010,1985,10,72.6 ,71.4 ,391663 ,294930 ,8674 ,43.5 ,168.926 ,8.6 ,1028.35 ,-0.84 ,5.52 ,6.36 ,3.6 
1985001111,1985,11,72.8 ,71.5 ,392503 ,283343 ,8502 ,43.3 ,166.236 ,9.1 ,1006.23 ,-1.88 ,5.27 ,7.15 ,4.5 
1985001212,1985,12,73.4 ,71.8 ,391896 ,287440 ,8750 ,43.2 ,163.555 ,9.3 ,1031.64 ,-1.71 ,5.02 ,6.73 ,0.5 
1986000101,1986,1,73.1 ,71.1 ,395046 ,293467 ,9209 ,42.9 ,161.367 ,9.0 ,1034.69 ,-0.92 ,4.94 ,5.86 ,2.0 
1986000202,1986,2,73.5 ,71.8 ,393254 ,270369 ,8939 ,42.7 ,155.161 ,9.0 ,1066.03 ,-0.50 ,4.87 ,5.37 ,0.1 
1986000303,1986,3,75.5 ,72.7 ,387668 ,278521 ,9044 ,42.4 ,149.531 ,9.0 ,1162.99 ,0.25 ,4.80 ,4.55 ,-1.1 
1986000404,1986,4,69.8 ,71.9 ,382198 ,249682 ,8859 ,42.0 ,145.555 ,8.4 ,1233.83 ,0.10 ,4.70 ,4.60 ,2.5 
1986000505,1986,5,76.6 ,72.1 ,373617 ,259029 ,8997 ,41.7 ,144.603 ,8.4 ,1264.45 ,-0.40 ,4.59 ,4.99 ,-1.3 
1986000606,1986,6,74.8 ,71.6 ,363030 ,280593 ,9040 ,41.3 ,141.520 ,8.5 ,1329.78 ,-0.29 ,4.49 ,4.78 ,-6.2 
1986000707,1986,7,75.1 ,71.7 ,370182 ,255526 ,9278 ,40.7 ,136.032 ,8.7 ,1394.75 ,-0.81 ,4.42 ,5.23 ,-3.0 
1986000808,1986,8,74.0 ,72.4 ,392529 ,238132 ,9329 ,40.2 ,136.074 ,8.9 ,1496.38 ,-0.82 ,4.33 ,5.15 ,-1.3 
1986000909,1986,9,74.0 ,70.7 ,372420 ,294941 ,9585 ,39.6 ,136.022 ,8.9 ,1503.96 ,-1.47 ,4.25 ,5.72 ,-5.6 
