,,,L1,L2,L3,L4,L5,L6(?),L7,L8,L9,L10,L10A,L10B,L11
1999000505,1999,5,80.9 ,75.9 ,453973 ,282041 ,10056 ,35.2 ,101.140 ,4.1 ,1328.86 ,1.35 ,2.83 ,1.48 ,-3.7 
1999000606,1999,6,79.8 ,72.8 ,472978 ,270132 ,10660 ,35.1 ,102.370 ,4.3 ,1377.97 ,1.06 ,2.90 ,1.84 ,-2.1 
1999000707,1999,7,78.9 ,72.1 ,496685 ,282182 ,9718 ,35.5 ,102.062 ,4.0 ,1473.62 ,1.23 ,3.02 ,1.79 ,3.8 
1999000808,1999,8,78.0 ,72.1 ,484285 ,290062 ,9981 ,36.0 ,102.058 ,3.5 ,1465.58 ,1.23 ,3.14 ,1.91 ,3.0 
1999000909,1999,9,77.8 ,71.3 ,492048 ,294270 ,10040 ,36.4 ,102.300 ,3.3 ,1495.55 ,1.56 ,3.27 ,1.71 ,3.0 
1999001010,1999,10,76.9 ,70.9 ,508186 ,299114 ,9285 ,36.7 ,102.870 ,3.6 ,1518.76 ,1.55 ,3.36 ,1.81 ,7.7 
1999001111,1999,11,77.2 ,69.1 ,497922 ,297618 ,9563 ,37.1 ,102.650 ,2.9 ,1612.21 ,1.62 ,3.45 ,1.83 ,8.5 
1999001212,1999,12,76.8 ,69.3 ,508316 ,317976 ,9522 ,37.4 ,103.233 ,2.6 ,1637.52 ,1.88 ,3.53 ,1.65 ,10.9 
2000000101,2000,1,78.8 ,71.8 ,535617 ,329598 ,10798 ,37.7 ,104.701 ,2.6 ,1657.91 ,1.93 ,3.64 ,1.71 ,16.7 
2000000202,2000,2,75.2 ,69.0 ,528372 ,340674 ,10000 ,37.9 ,105.219 ,2.1 ,1711.97 ,1.93 ,3.77 ,1.84 ,12.6 
2000000303,2000,3,77.8 ,70.2 ,538001 ,302492 ,9847 ,38.2 ,103.769 ,1.9 ,1661.73 ,2.12 ,3.89 ,1.77 ,16.1 
2000000404,2000,4,78.3 ,70.4 ,555144 ,339806 ,10080 ,38.4 ,103.919 ,2.9 ,1661.89 ,2.22 ,3.98 ,1.76 ,11.2 
2000000505,2000,5,77.2 ,70.0 ,564639 ,343364 ,9718 ,38.7 ,104.311 ,2.2 ,1595.11 ,2.40 ,4.06 ,1.66 ,12.3 
2000000606,2000,6,76.5 ,69.4 ,585988 ,377423 ,10183 ,38.9 ,104.572 ,1.9 ,1566.27 ,2.39 ,4.15 ,1.76 ,7.4 
2000000707,2000,7,78.8 ,71.1 ,605865 ,360395 ,9741 ,39.1 ,105.646 ,2.0 ,1552.98 ,2.57 ,4.25 ,1.68 ,14.1 
2000000808,2000,8,75.9 ,68.8 ,610257 ,388990 ,9731 ,39.3 ,105.929 ,1.8 ,1493.44 ,2.43 ,4.33 ,1.90 ,13.8 
2000000909,2000,9,76.1 ,70.5 ,615264 ,353142 ,9871 ,39.5 ,107.467 ,2.0 ,1483.96 ,2.58 ,4.42 ,1.84 ,15.8 
2000001010,2000,10,77.6 ,72.0 ,624621 ,394255 ,9710 ,39.4 ,107.015 ,2.1 ,1443.34 ,2.66 ,4.48 ,1.82 ,16.0 
2000001111,2000,11,76.8 ,72.1 ,637409 ,385939 ,9811 ,39.3 ,107.155 ,1.9 ,1392.39 ,2.95 ,4.57 ,1.62 ,11.9 
2000001212,2000,12,76.0 ,72.3 ,634688 ,401771 ,10669 ,39.2 ,106.778 ,2.0 ,1336.78 ,3.01 ,4.65 ,1.64 ,9.0 
2001000101,2001,1,78.0 ,75.6 ,615461 ,363961 ,9233 ,37.9 ,105.809 ,2.2 ,1284.67 ,2.98 ,4.48 ,1.50 ,6.2 
2001000202,2001,2,77.1 ,76.9 ,618640 ,354491 ,9179 ,36.5 ,105.453 ,2.6 ,1257.92 ,3.00 ,4.30 ,1.30 ,3.7 
2001000303,2001,3,77.8 ,77.9 ,604612 ,344784 ,9547 ,35.2 ,106.399 ,2.5 ,1240.74 ,2.86 ,4.13 ,1.27 ,-7.4 
2001000404,2001,4,79.3 ,83.0 ,611569 ,333789 ,9160 ,35.3 ,106.495 ,2.3 ,1311.51 ,2.56 ,3.85 ,1.29 ,-9.2 
2001000505,2001,5,80.1 ,81.6 ,604371 ,327132 ,9127 ,35.3 ,105.592 ,2.6 ,1376.04 ,2.34 ,3.58 ,1.24 ,-8.4 
2001000606,2001,6,80.5 ,83.5 ,599274 ,300660 ,8834 ,35.4 ,105.062 ,2.9 ,1289.61 ,2.10 ,3.31 ,1.21 ,-11.9 
2001000707,2001,7,82.0 ,83.8 ,601079 ,304926 ,9462 ,33.9 ,103.052 ,3.0 ,1224.91 ,1.72 ,3.05 ,1.33 ,-18.2 
2001000808,2001,8,82.1 ,83.5 ,583771 ,334982 ,9528 ,32.4 ,102.176 ,2.9 ,1174.71 ,1.41 ,2.79 ,1.38 ,-17.4 
2001000909,2001,9,84.3 ,83.5 ,576815 ,290686 ,9158 ,30.9 ,100.376 ,3.2 ,1035.73 ,1.10 ,2.52 ,1.42 ,-19.2 
2001001010,2001,10,81.6 ,84.3 ,562524 ,235426 ,8767 ,30.9 ,100.179 ,2.9 ,1072.61 ,1.09 ,2.39 ,1.30 ,-23.7 
2001001111,2001,11,82.4 ,84.3 ,560059 ,279275 ,9157 ,32.2 ,99.203 ,3.0 ,1050.44 ,0.90 ,2.26 ,1.36 ,-24.4 
2001001212,2001,12,82.4 ,83.6 ,555381 ,261922 ,8747 ,30.9 ,100.218 ,3.3 ,1018.09 ,0.76 ,2.13 ,1.37 ,-15.0 
2002000101,2002,1,81.0 ,80.7 ,562867 ,258306 ,8958 ,34.0 ,100.928 ,3.5 ,999.01 ,0.77 ,2.25 ,1.48 ,-19.1 
2002000202,2002,2,81.0 ,78.2 ,574291 ,269962 ,9045 ,32.2 ,100.776 ,3.5 ,970.11 ,0.83 ,2.36 ,1.53 ,-12.9 
2002000303,2002,3,82.4 ,77.6 ,584478 ,304524 ,8857 ,35.6 ,101.155 ,3.7 ,1083.89 ,1.08 ,2.48 ,1.40 ,-8.8 
2002000404,2002,4,78.5 ,73.0 ,587126 ,267084 ,8953 ,36.2 ,101.649 ,3.5 ,1083.27 ,1.31 ,2.68 ,1.37 ,-2.6 
2002000505,2002,5,76.8 ,69.7 ,600442 ,262235 ,9438 ,37.8 ,102.619 ,3.5 ,1105.87 ,1.48 ,2.87 ,1.39 ,-0.9 
2002000606,2002,6,77.6 ,71.5 ,597383 ,277880 ,8647 ,37.1 ,103.917 ,3.4 ,1056.54 ,1.75 ,3.07 ,1.32 ,2.2 
2002000707,2002,7,75.4 ,69.7 ,595328 ,303067 ,8327 ,38.0 ,101.530 ,3.3 ,1003.17 ,1.87 ,3.19 ,1.32 ,3.6 
2002000808,2002,8,75.0 ,70.2 ,606017 ,276882 ,8572 ,37.7 ,102.277 ,3.4 ,956.43 ,2.14 ,3.32 ,1.18 ,6.1 
2002000909,2002,9,76.1 ,71.0 ,610380 ,293766 ,8379 ,36.3 ,102.306 ,3.2 ,916.01 ,2.27 ,3.45 ,1.18 ,2.0 
2002001010,2002,10,75.9 ,69.9 ,615006 ,298132 ,8741 ,35.3 ,104.028 ,3.3 ,871.56 ,2.62 ,3.61 ,0.99 ,3.0 
2002001111,2002,11,74.3 ,69.9 ,608816 ,286296 ,8398 ,35.7 ,104.953 ,3.2 ,856.11 ,2.75 ,3.75 ,1.00 ,5.8 
2002001212,2002,12,75.9 ,70.5 ,619766 ,295750 ,8357 ,33.6 ,105.515 ,2.2 ,847.24 ,2.99 ,3.89 ,0.90 ,4.5 
2003000101,2003,1,77.6 ,69.3 ,631081 ,341553 ,8458 ,33.8 ,106.752 ,1.9 ,847.86 ,3.00 ,3.81 ,0.81 ,2.6 
2003000202,2003,2,74.2 ,68.3 ,633411 ,312250 ,8605 ,34.1 ,108.276 ,1.9 ,841.75 ,2.96 ,3.74 ,0.78 ,-2.5 
2003000303,2003,3,75.5 ,69.5 ,645082 ,324548 ,8446 ,33.5 ,108.918 ,1.7 ,802.14 ,2.97 ,3.67 ,0.70 ,3.7 
2003000404,2003,4,74.0 ,70.0 ,640289 ,287138 ,8829 ,35.4 ,108.065 ,1.3 ,791.55 ,3.05 ,3.66 ,0.61 ,2.5 
2003000505,2003,5,73.0 ,68.4 ,644419 ,341128 ,8493 ,36.0 ,107.147 ,1.6 ,820.42 ,3.10 ,3.63 ,0.53 ,-0.8 
2003000606,2003,6,73.6 ,70.4 ,653360 ,347154 ,9636 ,35.2 ,107.543 ,1.8 ,879.19 ,2.79 ,3.61 ,0.82 ,1.2 
2003000707,2003,7,74.1 ,68.3 ,674017 ,340550 ,8508 ,36.6 ,108.985 ,1.8 ,949.44 ,2.79 ,3.72 ,0.93 ,2.4 
2003000808,2003,8,73.8 ,69.3 ,682251 ,337212 ,8222 ,38.7 ,108.262 ,1.9 ,965.77 ,2.38 ,3.85 ,1.47 ,1.7 
2003000909,2003,9,71.4 ,67.6 ,696374 ,352934 ,8556 ,38.6 ,108.282 ,1.8 ,1038.26 ,2.60 ,3.98 ,1.38 ,11.3 
2003001010,2003,10,70.6 ,65.0 ,707533 ,385464 ,8691 ,40.3 ,111.275 ,1.5 ,1062.92 ,2.53 ,4.00 ,1.47 ,11.0 
2003001111,2003,11,74.9 ,69.8 ,718043 ,372274 ,8417 ,40.0 ,110.460 ,1.5 ,1007.04 ,2.70 ,4.01 ,1.31 ,13.6 
2003001212,2003,12,69.4 ,65.2 ,739086 ,368295 ,8918 ,38.2 ,111.260 ,1.5 ,1010.30 ,2.66 ,4.02 ,1.36 ,10.9 
2004000101,2004,1,67.6 ,64.6 ,727646 ,381185 ,8846 ,39.3 ,113.551 ,1.6 ,1061.40 ,2.88 ,4.20 ,1.32 ,14.9 
2004000202,2004,2,70.7 ,65.2 ,708340 ,377277 ,8742 ,40.2 ,116.821 ,1.7 ,1045.70 ,3.15 ,4.37 ,1.22 ,14.6 
2004000303,2004,3,70.6 ,64.6 ,728859 ,375437 ,8855 ,41.5 ,119.731 ,1.7 ,1137.66 ,3.11 ,4.55 ,1.44 ,15.1 
2004000404,2004,4,73.0 ,64.6 ,742912 ,419635 ,8486 ,42.4 ,119.795 ,1.8 ,1200.99 ,3.10 ,4.64 ,1.54 ,13.6 
2004000505,2004,5,73.9 ,65.3 ,742782 ,406546 ,8775 ,44.4 ,122.794 ,2.0 ,1113.85 ,3.21 ,4.74 ,1.53 ,15.2 
2004000606,2004,6,72.1 ,64.2 ,756655 ,396355 ,8820 ,41.6 ,122.926 ,1.7 ,1158.74 ,3.07 ,4.85 ,1.78 ,11.3 
2004000707,2004,7,69.3 ,62.7 ,758830 ,378868 ,9258 ,45.8 ,123.543 ,1.8 ,1146.49 ,3.00 ,4.85 ,1.85 ,17.8 
2004000808,2004,8,73.8 ,65.4 ,762017 ,398788 ,8839 ,46.1 ,125.081 ,1.9 ,1114.78 ,3.30 ,4.84 ,1.54 ,11.8 
2004000909,2004,9,73.3 ,64.9 ,775746 ,380562 ,9417 ,43.4 ,126.178 ,2.1 ,1122.40 ,3.39 ,4.83 ,1.44 ,11.1 
2004001010,2004,10,72.4 ,66.0 ,796232 ,384550 ,8737 ,45.4 ,126.294 ,2.0 ,1108.48 ,3.34 ,4.83 ,1.49 ,11.5 
2004001111,2004,11,71.6 ,64.9 ,824611 ,400481 ,8124 ,45.4 ,127.013 ,2.0 ,1101.78 ,3.38 ,4.83 ,1.45 ,7.5 
2004001212,2004,12,67.0 ,65.3 ,803400 ,427084 ,8606 ,42.3 ,126.864 ,2.0 ,1110.39 ,3.39 ,4.83 ,1.44 ,14.5 
2005000101,2005,1,71.0 ,67.0 ,800057 ,388438 ,9269 ,44.8 ,126.146 ,1.9 ,1144.09 ,3.61 ,4.93 ,1.32 ,6.2 
2005000202,2005,2,73.4 ,67.4 ,800017 ,419471 ,8404 ,44.8 ,127.502 ,1.8 ,1159.71 ,3.56 ,5.03 ,1.47 ,7.3 
2005000303,2005,3,72.9 ,66.4 ,818414 ,454222 ,8647 ,42.0 ,129.281 ,2.0 ,1191.82 ,3.80 ,5.12 ,1.32 ,8.4 
2005000404,2005,4,68.9 ,66.9 ,821530 ,454320 ,8265 ,44.3 ,129.816 ,1.8 ,1158.22 ,3.86 ,5.10 ,1.24 ,8.8 
2005000505,2005,5,73.0 ,68.0 ,829649 ,394554 ,8986 ,44.4 ,128.586 ,1.4 ,1134.29 ,3.83 ,5.08 ,1.25 ,11.0 
2005000606,2005,6,71.7 ,66.9 ,834263 ,402229 ,8816 ,43.3 ,128.660 ,1.6 ,1159.35 ,3.90 ,5.07 ,1.17 ,10.7 
2005000707,2005,7,72.0 ,69.0 ,832003 ,439674 ,9535 ,45.3 ,130.967 ,1.6 ,1189.41 ,3.76 ,5.07 ,1.31 ,7.3 
2005000808,2005,8,71.7 ,68.3 ,834107 ,442064 ,9023 ,45.5 ,131.605 ,1.6 ,1241.61 ,3.72 ,5.06 ,1.34 ,12.9 
2005000909,2005,9,73.0 ,68.1 ,834544 ,436776 ,9078 ,42.8 ,132.202 ,2.0 ,1333.02 ,3.57 ,5.05 ,1.48 ,11.1 
2005001010,2005,10,70.8 ,68.3 ,829994 ,448775 ,9168 ,45.2 ,134.825 ,1.9 ,1400.34 ,3.53 ,5.08 ,1.55 ,13.6 
2005001111,2005,11,71.8 ,68.4 ,855905 ,446232 ,8995 ,45.7 ,135.787 ,2.0 ,1505.63 ,3.65 ,5.10 ,1.45 ,18.7 
2005001212,2005,12,72.0 ,68.1 ,841041 ,448522 ,8351 ,44.5 ,138.398 ,1.9 ,1611.10 ,3.65 ,5.12 ,1.47 ,26.2 
2006000101,2006,1,72.4 ,68.6 ,852862 ,426897 ,8572 ,47.0 ,142.060 ,1.8 ,1654.17 ,3.57 ,5.13 ,1.56 ,19.8 
2006000202,2006,2,72.9 ,68.2 ,865769 ,460799 ,9146 ,47.1 ,142.571 ,1.7 ,1653.33 ,3.56 ,5.15 ,1.59 ,19.8 
2006000303,2006,3,72.4 ,67.9 ,844771 ,464843 ,8617 ,44.8 ,143.471 ,1.4 ,1665.10 ,3.40 ,5.17 ,1.77 ,19.0 
2006000404,2006,4,72.7 ,67.3 ,858312 ,481194 ,9166 ,46.5 ,148.406 ,1.6 ,1745.00 ,3.27 ,5.19 ,1.92 ,17.6 
2006000505,2006,5,70.4 ,68.0 ,869166 ,447186 ,9318 ,45.9 ,150.488 ,1.3 ,1657.22 ,3.39 ,5.22 ,1.83 ,17.5 
2006000606,2006,6,70.7 ,66.8 ,861830 ,513556 ,9174 ,43.8 ,149.775 ,1.1 ,1532.82 ,3.33 ,5.25 ,1.92 ,11.7 
2006000707,2006,7,72.4 ,67.7 ,867435 ,460329 ,8658 ,45.5 ,151.787 ,0.5 ,1549.25 ,3.42 ,5.34 ,1.92 ,10.4 
2006000808,2006,8,70.7 ,65.4 ,863916 ,490361 ,9235 ,44.6 ,152.659 ,0.4 ,1601.79 ,3.80 ,5.42 ,1.62 ,14.4 
2006000909,2006,9,70.4 ,67.3 ,857953 ,478865 ,9283 ,43.2 ,152.471 ,0.5 ,1599.36 ,3.83 ,5.50 ,1.67 ,12.9 
2006001010,2006,10,72.8 ,67.1 ,830677 ,447796 ,9202 ,45.4 ,155.516 ,0.5 ,1635.35 ,3.82 ,5.54 ,1.72 ,16.3 
2006001111,2006,11,72.1 ,67.5 ,855417 ,465198 ,9345 ,46.1 ,156.554 ,0.6 ,1580.23 ,3.95 ,5.60 ,1.65 ,16.1 
2006001212,2006,12,71.7 ,67.7 ,856829 ,465251 ,9116 ,44.2 ,158.921 ,0.7 ,1646.40 ,3.98 ,5.66 ,1.68 ,16.4 
2007000101,2007,1,70.8 ,67.0 ,825291 ,462284 ,8383 ,46.0 ,158.716 ,0.9 ,1708.42 ,3.92 ,5.62 ,1.70 ,17.4 
2007000202,2007,2,70.3 ,68.0 ,842244 ,460551 ,8451 ,46.0 ,159.424 ,1.0 ,1765.50 ,3.96 ,5.59 ,1.63 ,19.4 
2007000303,2007,3,70.5 ,69.7 ,844035 ,444641 ,8993 ,43.9 ,163.063 ,1.1 ,1711.78 ,3.90 ,5.55 ,1.65 ,17.5 
2007000404,2007,4,71.0 ,68.8 ,836212 ,438711 ,8943 ,44.2 ,168.185 ,1.1 ,1714.63 ,3.90 ,5.52 ,1.62 ,15.2 
2007000505,2007,5,71.2 ,66.6 ,823085 ,466373 ,8310 ,43.5 ,169.648 ,1.4 ,1724.49 ,3.71 ,5.46 ,1.75 ,10.6 
2007000606,2007,6,72.5 ,68.4 ,819578 ,410001 ,9536 ,41.6 ,171.893 ,1.8 ,1768.46 ,3.53 ,5.40 ,1.87 ,11.7 
2007000707,2007,7,71.7 ,67.6 ,810943 ,451289 ,6673 ,41.4 ,175.312 ,2.0 ,1762.62 ,3.49 ,5.28 ,1.79 ,9.9 
2007000808,2007,8,71.6 ,66.6 ,799197 ,449588 ,5407 ,41.2 ,171.161 ,1.8 ,1606.10 ,3.58 ,5.18 ,1.60 ,9.2 
2007000909,2007,9,74.3 ,70.0 ,779312 ,473595 ,5762 ,40.9 ,173.351 ,1.7 ,1562.37 ,3.41 ,5.09 ,1.68 ,9.6 
2007001010,2007,10,73.0 ,65.0 ,769743 ,490350 ,6463 ,40.1 ,175.721 ,1.9 ,1619.67 ,3.45 ,5.05 ,1.60 ,8.4 
2007001111,2007,11,74.4 ,67.0 ,748010 ,485429 ,6794 ,37.9 ,173.218 ,2.0 ,1504.90 ,3.57 ,5.03 ,1.46 ,11.7 
2007001212,2007,12,74.3 ,67.4 ,733423 ,460865 ,7248 ,36.8 ,172.334 ,2.1 ,1510.22 ,3.50 ,5.00 ,1.50 ,13.4 
2008000101,2008,1,72.1 ,67.3 ,738734 ,481050 ,7680 ,36.2 ,172.938 ,2.1 ,1337.71 ,3.52 ,4.96 ,1.44 ,13.1 
2008000202,2008,2,72.1 ,65.8 ,741011 ,454024 ,7751 ,35.2 ,180.651 ,2.4 ,1328.42 ,3.55 ,4.91 ,1.36 ,7.4 
2008000303,2008,3,76.2 ,66.7 ,687760 ,427431 ,7758 ,34.7 ,182.145 ,2.3 ,1228.87 ,3.59 ,4.87 ,1.28 ,5.7 
2008000404,2008,4,68.9 ,68.8 ,702162 ,441001 ,7980 ,32.7 ,187.634 ,1.9 ,1294.08 ,3.09 ,4.67 ,1.58 ,2.1 
2008000505,2008,5,70.3 ,69.5 ,702404 ,456313 ,7807 ,31.0 ,193.277 ,2.1 ,1373.83 ,2.73 ,4.47 ,1.74 ,-0.3 
2008000606,2008,6,74.3 ,72.2 ,684611 ,451725 ,7777 ,29.9 ,198.164 ,2.2 ,1380.74 ,2.66 ,4.27 ,1.61 ,-1.9 
2008000707,2008,7,74.1 ,69.6 ,670503 ,422912 ,7715 ,28.8 ,201.914 ,2.1 ,1290.26 ,2.61 ,4.14 ,1.53 ,-7.4 
2008000808,2008,8,78.5 ,76.1 ,669081 ,410401 ,7883 ,27.8 ,199.048 ,2.4 ,1247.10 ,2.60 ,4.01 ,1.41 ,-7.0 
2008000909,2008,9,77.7 ,75.4 ,645485 ,421125 ,8102 ,28.8 ,191.535 ,2.2 ,1165.80 ,2.39 ,3.87 ,1.48 ,-11.1 
2008001010,2008,10,79.5 ,78.0 ,634327 ,393912 ,7175 ,27.4 ,173.662 ,1.8 ,913.49 ,1.18 ,2.66 ,1.48 ,-17.0 
2008001111,2008,11,85.8 ,93.4 ,623862 ,285465 ,6599 ,27.1 ,158.652 ,1.8 ,857.92 ,0.04 ,1.44 ,1.40 ,-22.9 
2008001212,2008,12,89.4 ,107.0 ,646836 ,291780 ,6486 ,25.9 ,147.854 ,1.8 ,827.40 ,-0.98 ,0.19 ,1.17 ,-30.6 
2009000101,2009,1,105.4 ,111.7 ,603284 ,209721 ,6225 ,25.8 ,143.107 ,2.0 ,819.66 ,-2.18 ,-0.91 ,1.27 ,-43.3 
2009000202,2009,2,107.3 ,120.2 ,525404 ,196846 ,6105 ,26.0 ,139.699 ,2.1 ,762.16 ,-3.32 ,-2.05 ,1.27 ,-41.9 
2009000303,2009,3,102.3 ,107.9 ,523109 ,232081 ,6006 ,27.6 ,139.827 ,2.2 ,756.52 ,-4.56 ,-3.22 ,1.34 ,-36.0 
2009000404,2009,4,100.9 ,98.9 ,516148 ,224583 ,5596 ,30.2 ,143.336 ,2.7 ,832.63 ,-3.77 ,-2.34 ,1.43 ,-18.8 
2009000505,2009,5,99.4 ,94.3 ,493498 ,242595 ,5692 ,32.8 ,141.840 ,2.7 ,882.40 ,-2.92 ,-1.44 ,1.48 ,-11.6 
2009000606,2009,6,93.5 ,87.5 ,509473 ,258078 ,5534 ,34.3 ,144.971 ,2.5 ,921.57 ,-1.89 ,-0.54 ,1.35 ,-8.1 
2009000707,2009,7,90.7 ,82.4 ,513653 ,208102 ,5532 ,36.3 ,146.320 ,2.7 ,903.66 ,-1.33 ,0.09 ,1.42 ,-6.7 
2009000808,2009,8,87.7 ,83.6 ,512577 ,230476 ,5177 ,37.0 ,150.133 ,2.8 ,961.13 ,-0.58 ,0.73 ,1.31 ,-4.4 
2009000909,2009,9,83.9 ,78.5 ,525120 ,247120 ,5359 ,37.4 ,148.890 ,3.0 ,937.02 ,0.07 ,1.37 ,1.30 ,0.0 
2009001010,2009,10,83.1 ,75.1 ,524960 ,301384 ,5649 ,37.8 ,151.728 ,3.4 ,895.10 ,0.45 ,1.86 ,1.41 ,2.8 
2009001111,2009,11,80.6 ,75.2 ,525780 ,238414 ,5685 ,37.8 ,151.370 ,3.3 ,855.14 ,1.09 ,2.35 ,1.26 ,0.7 
2009001212,2009,12,77.1 ,71.0 ,532497 ,277398 ,5824 ,36.6 ,153.228 ,3.1 ,892.90 ,1.54 ,2.83 ,1.29 ,-0.5 
2010000101,2010,1,76.0 ,70.2 ,529683 ,282732 ,5993 ,37.7 ,153.391 ,3.0 ,936.12 ,1.75 ,3.07 ,1.32 ,-0.5 
2010000202,2010,2,76.5 ,74.2 ,515424 ,270804 ,5626 ,38.2 ,154.897 ,2.7 ,896.61 ,2.01 ,3.31 ,1.30 ,3.9 
2010000303,2010,3,72.6 ,67.6 ,537858 ,276735 ,6050 ,38.9 ,159.782 ,2.7 ,936.98 ,2.15 ,3.55 ,1.40 ,6.6 
2010000404,2010,4,71.5 ,68.8 ,542156 ,290055 ,5971 ,39.4 ,165.893 ,2.9 ,987.60 ,2.28 ,3.56 ,1.28 ,5.1 
2010000505,2010,5,72.8 ,70.0 ,557609 ,268369 ,5724 ,39.5 ,162.444 ,3.1 ,907.38 ,2.31 ,3.57 ,1.26 ,8.0 
2010000606,2010,6,71.6 ,69.4 ,571488 ,279959 ,5923 ,39.7 ,160.524 ,2.9 ,873.79 ,2.49 ,3.58 ,1.09 ,5.6 
2010000707,2010,7,70.8 ,69.8 ,575767 ,302096 ,5917 ,39.7 ,159.907 ,2.7 ,846.85 ,2.51 ,3.57 ,1.06 ,5.9 
2010000808,2010,8,70.1 ,70.5 ,590956 ,331640 ,6175 ,39.2 ,159.511 ,2.8 ,834.51 ,2.58 ,3.56 ,0.98 ,1.9 
2010000909,2010,9,70.7 ,70.7 ,599830 ,298356 ,6443 ,38.2 ,161.891 ,2.8 ,836.55 ,2.63 ,3.56 ,0.93 ,-9.3 
2010001010,2010,10,74.9 ,74.5 ,616858 ,318592 ,6246 ,38.3 ,163.504 ,2.8 ,827.07 ,2.65 ,3.57 ,0.92 ,-3.3 
2010001111,2010,11,73.0 ,70.5 ,619941 ,298834 ,6206 ,38.8 ,164.576 ,2.6 ,849.90 ,2.37 ,3.56 ,1.19 ,-0.3 
2010001212,2010,12,75.7 ,72.1 ,616063 ,304847 ,6551 ,39.0 ,168.232 ,2.3 ,894.54 ,2.45 ,3.56 ,1.11 ,4.4 
2011000101,2011,1,77.2 ,71.5 ,627421 ,323377 ,6301 ,39.2 ,171.842 ,2.3 ,924.36 ,2.18 ,3.40 ,1.22 ,6.9 
2011000202,2011,2,73.5 ,74.5 ,635217 ,325265 ,6204 ,38.7 ,176.137 ,2.4 ,948.61 ,1.98 ,3.24 ,1.26 ,14.2 
2011000303,2011,3,70.6 ,80.1 ,599542 ,325701 ,6129 ,36.2 ,178.951 ,2.6 ,883.59 ,1.83 ,3.09 ,1.26 ,10.5 
2011000404,2011,4,83.2 ,84.6 ,623808 ,317001 ,6046 ,31.2 ,180.965 ,2.7 ,843.89 ,1.66 ,2.86 ,1.20 ,-22.5 
2011000505,2011,5,79.9 ,93.1 ,635577 ,336894 ,6056 ,32.1 ,179.801 ,2.7 ,837.02 ,1.49 ,2.64 ,1.15 ,-11.5 
2011000606,2011,6,68.9 ,83.1 ,643256 ,345780 ,6313 ,33.1 ,178.005 ,2.8 ,822.06 ,1.29 ,2.42 ,1.13 ,-1.3 
2011000707,2011,7,69.1 ,84.1 ,667304 ,313709 ,7291 ,34.6 ,177.515 ,2.9 ,861.29 ,1.51 ,2.59 ,1.08 ,2.7 
2011000808,2011,8,70.4 ,81.6 ,671104 ,343021 ,7026 ,34.7 ,174.503 ,2.7 ,778.73 ,1.73 ,2.76 ,1.03 ,5.2 
2011000909,2011,9,71.0 ,83.3 ,675209 ,315986 ,5772 ,35.9 ,168.897 ,2.7 ,753.81 ,1.90 ,2.92 ,1.02 ,8.9 
2011001010,2011,10,69.2 ,84.4 ,692019 ,329703 ,5838 ,36.4 ,169.095 ,2.8 ,750.34 ,1.73 ,2.78 ,1.05 ,4.6 
2011001111,2011,11,70.4 ,84.9 ,700299 ,324853 ,6176 ,36.3 ,166.651 ,3.0 ,730.12 ,1.58 ,2.65 ,1.07 ,5.1 
2011001212,2011,12,66.9 ,82.6 ,702410 ,322231 ,6080 ,36.8 ,165.195 ,3.1 ,732.53 ,1.53 ,2.51 ,0.98 ,1.7 
2012000101,2012,1,70.2 ,83.7 ,706425 ,323737 ,6180 ,37.5 ,169.100 ,3.0 ,744.40 ,1.62 ,2.59 ,0.97 ,6.1 
