,,,L1,L2,L3,L4,L5,L6(?),L7,L8,L9,L10,L10A,L10B,L11
2012000202,2012,2,71.8 ,80.2 ,710037 ,341917 ,6540 ,37.4 ,171.372 ,2.9 ,799.32 ,1.71 ,2.67 ,0.96 ,2.4 
2012000303,2012,3,78.9 ,79.9 ,716249 ,313038 ,6442 ,37.6 ,173.106 ,3.0 ,850.37 ,1.76 ,2.75 ,0.99 ,6.3 
2012000404,2012,4,80.4 ,80.6 ,724667 ,319222 ,6504 ,37.4 ,172.526 ,2.6 ,817.43 ,1.85 ,2.74 ,0.89 ,5.7 
2012000505,2012,5,79.3 ,79.1 ,735556 ,317100 ,6575 ,37.8 ,166.968 ,2.2 ,745.33 ,1.90 ,2.73 ,0.83 ,4.4 
2012000606,2012,6,79.3 ,81.2 ,733296 ,302849 ,6304 ,37.6 ,164.232 ,2.3 ,733.19 ,1.89 ,2.72 ,0.83 ,0.4 
2012000707,2012,7,82.5 ,83.5 ,734553 ,318733 ,6568 ,37.4 ,163.420 ,2.3 ,746.00 ,1.95 ,2.73 ,0.78 ,-4.6 
2012000808,2012,8,82.8 ,83.7 ,744934 ,291824 ,6564 ,37.9 ,164.424 ,2.4 ,748.73 ,1.93 ,2.73 ,0.80 ,-6.8 
2012000909,2012,9,85.1 ,85.4 ,738931 ,286541 ,6464 ,37.8 ,166.262 ,2.4 ,742.65 ,1.96 ,2.73 ,0.77 ,-10.4 
2012001010,2012,10,84.2 ,84.5 ,737931 ,273913 ,6897 ,37.6 ,163.824 ,2.3 ,736.24 ,1.88 ,2.66 ,0.78 ,-8.8 
2012001111,2012,11,85.3 ,84.6 ,742311 ,286365 ,6677 ,37.7 ,166.279 ,2.1 ,753.21 ,1.89 ,2.59 ,0.70 ,-13.8 
2012001212,2012,12,84.5 ,84.5 ,745455 ,288622 ,6587 ,37.5 ,169.679 ,2.6 ,811.87 ,1.72 ,2.52 ,0.80 ,-8.5 
2013000101,2013,1,79.3 ,86.4 ,750781 ,267697 ,6667 ,40.6 ,173.500 ,2.7 ,901.20 ,2.15 ,2.89 ,0.74 ,-11.0 
2013000202,2013,2,77.4 ,84.8 ,774550 ,289664 ,6794 ,41.5 ,174.999 ,2.9 ,961.02 ,2.56 ,3.23 ,0.67 ,1.3 
2013000303,2013,3,76.8 ,82.2 ,775531 ,301117 ,6896 ,42.1 ,175.959 ,3.0 ,1028.55 ,3.02 ,3.58 ,0.56 ,2.0 
2013000404,2013,4,74.3 ,82.1 ,766816 ,282716 ,6892 ,44.8 ,176.051 ,3.2 ,1110.41 ,3.01 ,3.61 ,0.60 ,3.5 
2013000505,2013,5,73.8 ,81.5 ,780614 ,295984 ,7439 ,45.2 ,177.618 ,3.5 ,1203.38 ,2.80 ,3.66 ,0.86 ,7.1 
2013000606,2013,6,74.2 ,81.3 ,794192 ,316881 ,7261 ,43.7 ,175.427 ,3.8 ,1089.48 ,2.84 ,3.70 ,0.86 ,5.0 
2013000707,2013,7,74.1 ,79.6 ,797506 ,305604 ,7243 ,43.5 ,176.854 ,3.7 ,1186.91 ,2.96 ,3.76 ,0.80 ,9.8 
2013000808,2013,8,71.4 ,79.9 ,800444 ,328102 ,7261 ,42.7 ,180.025 ,3.8 ,1145.42 ,3.12 ,3.84 ,0.72 ,7.8 
2013000909,2013,9,72.5 ,79.8 ,816314 ,330661 ,7604 ,45.5 ,180.555 ,3.8 ,1185.18 ,3.23 ,3.91 ,0.68 ,10.9 
2013001010,2013,10,71.5 ,79.7 ,819874 ,335843 ,7546 ,41.7 ,181.605 ,4.1 ,1188.51 ,3.47 ,4.06 ,0.59 ,14.4 
2013001111,2013,11,69.2 ,77.6 ,811925 ,350625 ,7646 ,42.9 ,184.132 ,4.3 ,1222.90 ,3.59 ,4.19 ,0.60 ,15.1 
2013001212,2013,12,70.7 ,78.3 ,825575 ,303628 ,7689 ,41.6 ,188.334 ,4.2 ,1254.45 ,3.59 ,4.33 ,0.74 ,17.2 
2014000101,2014,1,71.0 ,78.2 ,852362 ,334755 ,7470 ,40.3 ,187.995 ,4.3 ,1275.17 ,3.76 ,4.38 ,0.62 ,19.6 
2014000202,2014,2,72.1 ,78.8 ,827686 ,317282 ,6700 ,38.6 ,189.005 ,4.0 ,1200.83 ,3.85 ,4.43 ,0.58 ,10.7 
2014000303,2014,3,65.0 ,79.2 ,825784 ,384126 ,6435 ,37.2 ,187.695 ,3.5 ,1190.57 ,3.85 ,4.49 ,0.64 ,3.9 
2014000404,2014,4,74.9 ,80.1 ,844984 ,334233 ,6381 ,37.3 ,187.313 ,3.4 ,1171.18 ,3.55 ,4.17 ,0.62 ,-11.7 
2014000505,2014,5,76.8 ,80.7 ,829644 ,293929 ,6009 ,39.0 ,186.105 ,3.3 ,1174.62 ,3.27 ,3.84 ,0.57 ,-0.2 
2014000606,2014,6,81.9 ,81.2 ,833406 ,303701 ,6190 ,40.4 ,187.031 ,3.0 ,1246.22 ,2.94 ,3.51 ,0.57 ,1.6 
2014000707,2014,7,79.3 ,81.0 ,833746 ,343679 ,5979 ,41.5 ,187.984 ,3.0 ,1275.72 ,3.16 ,3.69 ,0.53 ,4.6 
2014000808,2014,8,81.2 ,82.3 ,829938 ,338221 ,6096 ,40.8 ,187.760 ,3.0 ,1271.50 ,3.37 ,3.86 ,0.49 ,13.0 
2014000909,2014,9,79.5 ,81.9 ,833538 ,368629 ,6129 ,40.1 ,186.677 ,3.0 ,1313.29 ,3.50 ,4.03 ,0.53 ,9.7 
2014001010,2014,10,80.1 ,81.5 ,828575 ,339118 ,6248 ,39.3 ,185.780 ,3.1 ,1253.99 ,3.64 ,4.09 ,0.45 ,5.4 
2014001111,2014,11,81.0 ,82.8 ,838352 ,340015 ,6136 ,38.2 ,186.985 ,3.6 ,1385.33 ,3.75 ,4.17 ,0.42 ,6.3 
2014001212,2014,12,80.4 ,84.1 ,844312 ,387598 ,6169 ,39.0 ,183.036 ,3.5 ,1411.59 ,3.92 ,4.25 ,0.33 ,1.3 
2015000101,2015,1,78.6 ,83.0 ,865329 ,361884 ,6282 ,39.0 ,176.003 ,3.3 ,1389.14 ,3.91 ,4.19 ,0.28 ,0.2 
2015000202,2015,2,79.4 ,84.5 ,837559 ,362360 ,6245 ,40.8 ,177.430 ,3.5 ,1461.08 ,3.78 ,4.11 ,0.33 ,1.0 
2015000303,2015,3,79.1 ,85.2 ,830553 ,363092 ,6208 ,41.3 ,175.260 ,3.6 ,1553.83 ,3.63 ,4.03 ,0.40 ,6.8 
2015000404,2015,4,76.8 ,84.7 ,846686 ,387593 ,6201 ,41.9 ,177.106 ,3.6 ,1590.91 ,3.72 ,4.06 ,0.34 ,5.4 
2015000505,2015,5,76.6 ,83.6 ,849571 ,445372 ,6227 ,41.4 ,178.137 ,4.1 ,1626.44 ,3.71 ,4.10 ,0.39 ,7.2 
2015000606,2015,6,77.0 ,84.4 ,856475 ,379095 ,6821 ,41.6 ,176.769 ,3.8 ,1652.72 ,3.67 ,4.13 ,0.46 ,7.5 
2015000707,2015,7,76.6 ,85.0 ,867642 ,352955 ,6242 ,41.0 ,174.461 ,3.9 ,1637.30 ,3.76 ,4.17 ,0.41 ,3.7 
2015000808,2015,8,77.6 ,86.5 ,870172 ,345777 ,6329 ,41.7 ,169.466 ,4.1 ,1613.59 ,3.83 ,4.21 ,0.38 ,3.1 
2015000909,2015,9,76.3 ,85.0 ,868810 ,344082 ,6185 ,40.8 ,166.020 ,3.8 ,1455.30 ,3.90 ,4.25 ,0.35 ,4.6 
2015001010,2015,10,74.9 ,84.1 ,895956 ,364822 ,6043 ,41.6 ,165.098 ,3.6 ,1506.15 ,3.78 ,4.08 ,0.30 ,2.5 
2015001111,2015,11,77.9 ,86.1 ,889067 ,332705 ,6268 ,42.4 ,163.272 ,3.3 ,1582.45 ,3.61 ,3.91 ,0.30 ,3.8 
2015001212,2015,12,79.2 ,86.9 ,885689 ,340338 ,6024 ,42.4 ,160.852 ,3.1 ,1551.34 ,3.47 ,3.74 ,0.27 ,5.2 
2016000101,2016,1,76.9 ,86.9 ,898396 ,451556 ,6226 ,42.0 ,155.948 ,3.1 ,1412.22 ,3.53 ,3.63 ,0.10 ,5.1 
2016000202,2016,2,75.2 ,86.6 ,903883 ,318111 ,6553 ,40.0 ,154.942 ,3.1 ,1324.59 ,3.60 ,3.53 ,-0.07 ,-0.1 
2016000303,2016,3,78.8 ,86.4 ,880187 ,376331 ,6607 ,41.3 ,156.095 ,3.0 ,1358.30 ,3.48 ,3.43 ,-0.05 ,-2.8 
2016000404,2016,4,80.3 ,86.0 ,900483 ,327231 ,6444 ,41.1 ,158.194 ,3.3 ,1335.67 ,3.57 ,3.48 ,-0.09 ,-0.8 
2016000505,2016,5,82.0 ,86.9 ,914527 ,335791 ,6660 ,41.0 ,158.665 ,3.3 ,1334.43 ,3.65 ,3.53 ,-0.12 ,-2.3 
2016000606,2016,6,82.3 ,85.8 ,904661 ,366833 ,6596 ,41.9 ,156.704 ,3.3 ,1288.83 ,3.81 ,3.58 ,-0.23 ,-2.6 
2016000707,2016,7,82.0 ,84.4 ,916232 ,363474 ,6644 ,41.6 ,157.572 ,3.3 ,1291.30 ,3.76 ,3.56 ,-0.20 ,-2.9 
2016000808,2016,8,82.1 ,83.3 ,914475 ,334718 ,6440 ,42.2 ,156.636 ,3.2 ,1303.93 ,3.63 ,3.56 ,-0.07 ,2.9 
2016000909,2016,9,82.4 ,84.1 ,923669 ,338287 ,6614 ,43.0 ,156.713 ,3.4 ,1334.42 ,3.65 ,3.56 ,-0.09 ,-5.4 
2016001010,2016,10,81.4 ,81.2 ,921446 ,331660 ,6576 ,42.4 ,158.586 ,3.6 ,1360.45 ,3.88 ,3.83 ,-0.05 ,0.0 
2016001111,2016,11,79.6 ,78.3 ,927561 ,356547 ,6405 ,40.8 ,164.413 ,3.8 ,1409.47 ,4.07 ,4.09 ,0.02 ,-3.1 
2016001212,2016,12,81.5 ,78.5 ,940896 ,388182 ,6349 ,42.7 ,168.833 ,3.9 ,1522.68 ,4.30 ,4.34 ,0.04 ,0.0 
2017000101,2017,1,84.0 ,79.4 ,938509 ,346839 ,7130 ,42.7 ,171.743 ,3.9 ,1534.42 ,4.38 ,4.47 ,0.09 ,2.2 
2017000202,2017,2,83.8 ,79.6 ,933358 ,343156 ,6412 ,42.9 ,172.284 ,4.1 ,1537.60 ,4.56 ,4.61 ,0.05 ,5.3 
2017000303,2017,3,84.6 ,80.0 ,933902 ,365988 ,6466 ,43.8 ,173.696 ,4.2 ,1552.10 ,4.68 ,4.75 ,0.07 ,4.6 
2017000404,2017,4,84.8 ,79.9 ,943330 ,352367 ,6588 ,43.6 ,171.609 ,3.9 ,1494.81 ,4.69 ,4.71 ,0.02 ,11.2 
2017000505,2017,5,83.5 ,80.4 ,947255 ,355521 ,6478 ,43.7 ,172.631 ,3.8 ,1571.62 ,4.63 ,4.67 ,0.04 ,5.1 
2017000606,2017,6,82.5 ,80.2 ,954385 ,362781 ,6758 ,43.3 ,172.514 ,3.9 ,1603.77 ,4.55 ,4.63 ,0.08 ,8.4 
2017000707,2017,7,82.9 ,80.8 ,953728 ,358183 ,6408 ,44.1 ,174.141 ,4.0 ,1620.17 ,4.60 ,4.68 ,0.08 ,10.1 
2017000808,2017,8,81.7 ,79.5 ,970702 ,386206 ,6265 ,43.6 ,176.718 ,4.0 ,1612.95 ,4.69 ,4.70 ,0.01 ,13.1 
2017000909,2017,9,84.5 ,81.1 ,968125 ,401162 ,6339 ,44.1 ,179.875 ,4.0 ,1638.79 ,4.67 ,4.73 ,0.06 ,7.8 
2017001010,2017,10,86.2 ,84.1 ,968210 ,401716 ,6226 ,44.6 ,180.695 ,4.1 ,1721.72 ,4.69 ,4.76 ,0.07 ,8.8 
2017001111,2017,11,85.8 ,79.8 ,974722 ,405319 ,6412 ,44.5 ,181.862 ,4.0 ,1783.26 ,4.76 ,4.80 ,0.04 ,11.0 
2017001212,2017,12,84.7 ,81.2 ,1000281 ,391368 ,6192 ,44.4 ,184.488 ,3.6 ,1809.61 ,4.78 ,4.83 ,0.05 ,0.3 
2018000101,2018,1,88.0 ,83.6 ,948984 ,402836 ,6100 ,44.4 ,185.463 ,3.4 ,1882.57 ,4.76 ,4.84 ,0.08 ,11.6 
2018000202,2018,2,87.6 ,82.4 ,966705 ,419890 ,6089 ,44.1 ,186.434 ,3.2 ,1766.57 ,4.80 ,4.85 ,0.05 ,11.5 
2018000303,2018,3,88.1 ,83.8 ,986879 ,388490 ,5971 ,44.1 ,184.314 ,3.1 ,1716.27 ,4.81 ,4.86 ,0.05 ,11.3 
2018000404,2018,4,87.1 ,83.7 ,993102 ,427084 ,6426 ,43.9 ,186.501 ,3.2 ,1737.42 ,4.74 ,4.79 ,0.05 ,10.4 
2018000505,2018,5,86.8 ,84.5 ,973344 ,434165 ,6435 ,44.1 ,186.685 ,3.2 ,1783.96 ,4.68 ,4.71 ,0.03 ,15.8 
2018000606,2018,6,86.4 ,84.4 ,974193 ,404217 ,6139 ,43.6 ,185.395 ,3.1 ,1762.48 ,4.60 ,4.63 ,0.03 ,11.4 
2018000707,2018,7,89.8 ,85.5 ,976149 ,422221 ,6235 ,43.7 ,184.270 ,2.9 ,1729.12 ,4.44 ,4.50 ,0.06 ,7.4 
2018000808,2018,8,85.7 ,83.9 ,966110 ,433007 ,6270 ,43.8 ,183.405 ,2.9 ,1721.03 ,4.26 ,4.37 ,0.11 ,6.1 
2018000909,2018,9,85.3 ,88.8 ,975129 ,395268 ,6336 ,43.4 ,184.781 ,2.8 ,1746.41 ,4.11 ,4.24 ,0.13 ,8.3 
2018001010,2018,10,87.0 ,84.0 ,968627 ,408549 ,6331 ,43.0 ,184.792 ,2.7 ,1703.85 ,4.07 ,4.20 ,0.13 ,5.1 
2018001111,2018,11,84.3 ,84.4 ,967667 ,394935 ,6463 ,42.6 ,182.523 ,2.3 ,1646.77 ,4.08 ,4.17 ,0.09 ,7.1 
2018001212,2018,12,89.4 ,84.9 ,961032 ,377542 ,6487 ,42.5 ,180.684 ,2.4 ,1565.86 ,4.15 ,4.14 ,-0.01 ,3.4 
2019000101,2019,1,86.1 ,86.4 ,980297 ,368630 ,6330 ,41.6 ,180.567 ,2.3 ,1541.56 ,4.03 ,4.03 ,0.00 ,-1.8 
2019000202,2019,2,84.6 ,88.1 ,984722 ,377089 ,6490 ,41.3 ,183.091 ,2.4 ,1592.61 ,3.92 ,3.90 ,-0.02 ,1.6 
2019000303,2019,3,85.9 ,87.5 ,971060 ,370509 ,6622 ,40.2 ,183.632 ,2.4 ,1602.83 ,3.88 ,3.78 ,-0.10 ,-1.3 
2019000404,2019,4,86.9 ,89.9 ,980838 ,390006 ,6265 ,40.5 ,183.527 ,2.4 ,1618.12 ,3.72 ,3.67 ,-0.05 ,-1.9 
2019000505,2019,5,87.4 ,88.8 ,1004750 ,385744 ,6236 ,39.7 ,182.033 ,2.5 ,1547.17 ,3.68 ,3.58 ,-0.10 ,-5.5 
2019000606,2019,6,89.4 ,89.9 ,968215 ,384549 ,6477 ,38.4 ,181.001 ,2.2 ,1540.08 ,3.66 ,3.49 ,-0.17 ,-3.9 
2019000707,2019,7,89.1 ,90.5 ,958648 ,377320 ,6231 ,38.0 ,179.303 ,2.2 ,1573.16 ,3.62 ,3.46 ,-0.16 ,-5.0 
2019000808,2019,8,88.7 ,91.8 ,960759 ,368989 ,6283 ,37.7 ,176.139 ,2.3 ,1501.08 ,3.71 ,3.43 ,-0.28 ,-11.0 
2019000909,2019,9,87.9 ,91.6 ,940760 ,366620 ,6259 ,35.7 ,176.796 ,2.3 ,1579.13 ,3.63 ,3.41 ,-0.22 ,-10.9 
2019001010,2019,10,92.1 ,93.2 ,949295 ,352124 ,6112 ,36.2 ,178.414 ,2.3 ,1617.12 ,3.40 ,3.25 ,-0.15 ,-13.2 
2019001111,2019,11,92.4 ,94.3 ,917890 ,356357 ,5773 ,38.6 ,177.232 ,2.6 ,1697.37 ,3.16 ,3.08 ,-0.08 ,-16.9 
2019001212,2019,12,92.1 ,93.7 ,953855 ,353135 ,5930 ,38.9 ,178.847 ,2.6 ,1724.59 ,2.95 ,2.92 ,-0.03 ,-14.7 
2020000101,2020,1,94.2 ,94.4 ,828662 ,367495 ,5593 ,39.0 ,177.631 ,2.6 ,1719.06 ,2.90 ,2.83 ,-0.07 ,-15.2 
2020000202,2020,2,87.5 ,90.7 ,885838 ,367995 ,5818 ,38.3 ,175.805 ,2.8 ,1669.97 ,2.91 ,2.75 ,-0.16 ,-13.3 
2020000303,2020,3,98.7 ,98.0 ,839357 ,353191 ,6020 ,30.9 ,166.195 ,3.1 ,1385.57 ,2.66 ,2.67 ,0.01 ,-28.0 
2020000404,2020,4,117.5 ,108.3 ,651907 ,329372 ,5522 ,21.8 ,160.965 ,3.7 ,1412.35 ,1.93 ,1.89 ,-0.04 ,-43.4 
2020000505,2020,5,117.2 ,121.2 ,706445 ,290520 ,5296 ,24.3 ,162.210 ,5.1 ,1488.06 ,1.11 ,1.11 ,0.00 ,-63.5 
2020000606,2020,6,103.5 ,119.7 ,743937 ,304357 ,5486 ,28.0 ,165.899 ,7.3 ,1585.75 ,0.30 ,0.33 ,0.03 ,-50.5 
2020000707,2020,7,99.5 ,106.7 ,703637 ,311923 ,5347 ,29.5 ,168.482 ,7.9 ,1560.76 ,0.88 ,0.89 ,0.01 ,-32.9 
2020000808,2020,8,102.1 ,99.7 ,725638 ,316051 ,5339 ,29.8 ,170.862 ,8.6 ,1595.08 ,1.39 ,1.44 ,0.05 ,-28.4 
2020000909,2020,9,94.0 ,94.7 ,744557 ,316050 ,5670 ,32.6 ,171.164 ,9.0 ,1632.81 ,1.97 ,1.99 ,0.02 ,-20.7 
2020001010,2020,10,93.8 ,88.3 ,701225 ,357934 ,5441 ,33.2 ,173.087 ,9.0 ,1629.03 ,2.50 ,2.54 ,0.04 ,-14.8 
2020001111,2020,11,94.2 ,86.8 ,757024 ,352914 ,5571 ,33.6 ,174.929 ,9.1 ,1714.50 ,3.06 ,3.09 ,0.03 ,-7.4 
2020001212,2020,12,95.7 ,85.8 ,763045 ,367771 ,5477 ,31.8 ,178.504 ,9.2 ,1780.72 ,3.62 ,3.64 ,0.02 ,-13.6 
2021000101,2021,1,93.0 ,81.4 ,735879 ,376397 ,5640 ,30.0 ,182.325 ,9.4 ,1842.18 ,3.78 ,3.84 ,0.06 ,-14.2 
2021000202,2021,2,92.9 ,83.2 ,752731 ,352061 ,5620 ,33.9 ,188.433 ,9.6 ,1911.21 ,3.89 ,4.04 ,0.15 ,-13.8 
2021000303,2021,3,92.0 ,83.2 ,777715 ,356153 ,5857 ,36.0 ,191.707 ,9.5 ,1947.82 ,4.12 ,4.24 ,0.12 ,-3.7 
2021000404,2021,4,96.9 ,81.9 ,755693 ,377155 ,5882 ,35.2 ,196.625 ,9.3 ,1941.37 ,4.28 ,4.37 ,0.09 ,4.1 
2021000505,2021,5,91.9 ,83.5 ,761014 ,396640 ,5954 ,34.3 ,201.424 ,8.0 ,1908.12 ,4.42 ,4.50 ,0.08 ,3.5 
2021000606,2021,6,94.2 ,83.4 ,778943 ,394448 ,5880 ,36.9 ,204.391 ,5.9 ,1953.44 ,4.58 ,4.63 ,0.05 ,7.5 
2021000707,2021,7,92.8 ,83.8 ,776910 ,423735 ,6105 ,37.4 ,209.955 ,5.3 ,1931.88 ,4.41 ,4.43 ,0.02 ,5.1 
2021000808,2021,8,94.3 ,87.1 ,784040 ,364963 ,5968 ,37.1 ,211.430 ,4.7 ,1931.13 ,4.22 ,4.24 ,0.02 ,4.1 
2021000909,2021,9,99.4 ,91.4 ,794606 ,449478 ,5867 ,37.8 ,214.344 ,4.2 ,2063.04 ,3.99 ,4.06 ,0.07 ,-7.5 
2021001010,2021,10,97.4 ,92.0 ,792212 ,408812 ,6050 ,39.0 ,220.426 ,4.2 ,1991.44 ,4.06 ,4.16 ,0.10 ,-7.1 
2021001111,2021,11,95.3 ,90.3 ,820607 ,454846 ,5951 ,39.4 ,220.688 ,4.0 ,2022.87 ,4.20 ,4.25 ,0.05 ,0.7 
2021001212,2021,12,92.7 ,91.3 ,851800 ,460945 ,5855 ,38.9 ,222.076 ,3.7 ,1976.98 ,4.26 ,4.33 ,0.07 ,10.3 
2022000101,2022,1,93.9 ,92.9 ,845408 ,441198 ,5735 ,36.9 ,226.399 ,3.6 ,1954.51 ,4.24 ,4.41 ,0.17 ,5.9 
2022000202,2022,2,98.7 ,92.7 ,826845 ,425930 ,5834 ,35.5 ,233.511 ,3.6 ,1917.67 ,4.32 ,4.50 ,0.18 ,4.5 
2022000303,2022,3,97.7 ,93.9 ,861397 ,457229 ,5967 ,32.3 ,241.598 ,3.5 ,1885.51 ,4.37 ,4.58 ,0.21 ,1.5 
2022000404,2022,4,94.5 ,95.7 ,868052 ,485272 ,5939 ,32.3 ,247.534 ,3.4 ,1902.34 ,4.23 ,4.45 ,0.22 ,4.9 
2022000505,2022,5,96.0 ,97.6 ,872958 ,440987 ,5641 ,33.0 ,247.872 ,3.1 ,1879.00 ,4.10 ,4.34 ,0.24 ,4.5 
2022000606,2022,6,94.0 ,98.8 ,872339 ,454527 ,5672 ,31.5 ,250.630 ,3.3 ,1895.96 ,4.01 ,4.24 ,0.23 ,1.8 
2022000707,2022,7,95.7 ,98.5 ,879973 ,434894 ,5646 ,29.9 ,248.184 ,3.4 ,1908.46 ,4.08 ,4.26 ,0.18 ,1.7 
2022000808,2022,8,93.9 ,99.2 ,868081 ,455161 ,5963 ,32.3 ,248.932 ,3.4 ,1964.16 ,4.03 ,4.25 ,0.22 ,3.1 
2022000909,2022,9,96.0 ,101.8 ,878124 ,431795 ,5742 ,31.0 ,247.193 ,3.3 ,1922.22 ,4.01 ,4.25 ,0.24 ,-1.6 
2022001010,2022,10,91.0 ,103.0 ,881571 ,412077 ,5725 ,30.7 ,248.716 ,3.1 ,1894.99 ,3.91 ,4.16 ,0.25 ,0.6 
2022001111,2022,11,92.5 ,104.3 ,890038 ,391330 ,5663 ,30.0 ,250.600 ,3.1 ,1967.73 ,3.82 ,4.07 ,0.25 ,-1.9 
2022001212,2022,12,92.6 ,106.5 ,881756 ,388092 ,5512 ,31.1 ,249.807 ,2.9 ,1934.71 ,3.58 ,3.99 ,0.41 ,-1.2 
2023000101,2023,1,96.9 ,108.4 ,887078 ,386247 ,5827 ,31.4 ,251.605 ,2.7 ,1925.82 ,3.34 ,3.83 ,0.49 ,-3.6 
2023000202,2023,2,96.2 ,107.9 ,881896 ,408055 ,5701 ,31.3 ,253.175 ,2.6 ,1985.51 ,3.17 ,3.67 ,0.50 ,1.5 
2023000303,2023,3,96.5 ,109.2 ,868817 ,401328 ,5556 ,33.7 ,253.199 ,2.5 ,1989.46 ,3.20 ,3.52 ,0.32 ,4.2 
2023000404,2023,4,99.8 ,109.2 ,867978 ,390142 ,5130 ,35.2 ,252.465 ,2.6 ,2016.47 ,3.18 ,3.57 ,0.39 ,7.0 
2023000505,2023,5,102.3 ,108.2 ,866991 ,393999 ,5536 ,35.9 ,251.557 ,2.6 ,2125.76 ,3.16 ,3.59 ,0.43 ,6.6 
2023000606,2023,6,102.9 ,107.7 ,857705 ,395229 ,5418 ,36.1 ,253.798 ,2.6 ,2255.94 ,3.20 ,3.60 ,0.40 ,3.1 
2023000707,2023,7,103.4 ,108.1 ,858340 ,379500 ,5154 ,36.8 ,255.969 ,2.5 ,2273.04 ,3.14 ,3.74 ,0.60 ,0.8 
2023000808,2023,8,103.4 ,106.5 ,873086 ,379738 ,5357 ,36.3 ,257.947 ,2.5 ,2284.19 ,3.25 ,3.89 ,0.64 ,0.2 
2023000909,2023,9,103.3 ,102.3 ,844287 ,378279 ,5225 ,35.5 ,257.261 ,2.4 ,2379.55 ,3.28 ,4.05 ,0.77 ,3.7 
2023001010,2023,10,101.3 ,105.2 ,850336 ,377815 ,5159 ,35.9 ,257.336 ,2.4 ,2270.78 ,3.14 ,4.09 ,0.95 ,1.3 
2023001111,2023,11,105.1 ,105.0 ,847400 ,363221 ,5043 ,36.4 ,258.467 ,2.3 ,2356.32 ,3.48 ,4.14 ,0.66 ,0.3 
2023001212,2023,12,103.1 ,103.0 ,860179 ,385492 ,5213 ,37.3 ,257.071 ,2.3 ,2348.20 ,3.57 ,4.19 ,0.62 ,-3.5 
2024000101,2024,1,106.3 ,104.1 ,850068 ,333941 ,5127 ,38.1 ,259.140 ,2.5 ,2494.07 ,3.47 ,4.20 ,0.73 ,-1.5 
2024000202,2024,2,102.4 ,99.3 ,863715 ,364953 ,5021 ,39.0 ,259.591 ,2.4 ,2606.11 ,3.47 ,4.18 ,0.71 ,-1.7 
2024000303,2024,3,109.0 ,107.2 ,857912 ,435195 ,4889 ,39.5 ,263.801 ,2.5 ,2728.81 ,3.43 ,4.16 ,0.73 ,-0.4 
2024000404,2024,4,111.3 ,105.2 ,822448 ,382342 ,5541 ,38.3 ,269.169 ,2.2 ,2707.57 ,3.35 ,4.22 ,0.87 ,1.9 
2024000505,2024,5,107.1 ,102.7 ,829239 ,386261 ,5252 ,36.2 ,272.813 ,1.8 ,2740.90 ,3.21 ,4.28 ,1.07 ,4.7 
2024000606,2024,6,109.8 ,106.3 ,827707 ,384387 ,4911 ,36.4 ,272.628 ,1.5 ,2758.43 ,3.30 ,4.35 ,1.05 ,0.2 
2024000707,2024,7,108.0 ,101.1 ,816630 ,361215 ,4930 ,36.7 ,266.850 ,1.5 ,2843.31 ,,,1.05 ,-1.9 
2024000808,2024,8,111.4 ,108.9 ,832062 ,350830 ,4913 ,36.7 ,266.219 ,1.3 ,2596.40 ,,,0.89 ,-5.6 
2024000909,2024,9,107.0 ,103.5 ,836938 ,,5109 ,36.9 ,267.463 ,1.3 ,2628.79 ,,,0.86 ,1.5 
,,,,,,,,,,,,,,,
,,,(?)?L6?????????2001?11??????????????2001?10?????????????????????????????????3??????????????????????????(4?6???????6??????????)?,,,,,,,,,,,,
,,,"???2001?10??????????????????(3,6,9,12????)?????",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
